Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording20	Participant20	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	95886	0				82940	633	131	200	3,68949	118	154,12	31,22	803,77	135,5	5,05	0,84	17,05	596,11	425	203,88	45,15	45,15	1,06
Recording1	Participant1	Timeline1	image 2	1	image 2	4999	49161				4330	481	9	316	2,97601	9	205,55	76,57	613,24	167,43	4,61	2,14	9,94	41,5	380	212,58	158,65	76,16	3,02
Recording1	Participant1	Timeline1	image 7	1	image 7	4999	74188				4064	226	18	699	3,14353	19	104,42	30,52	477,64	116,5	3,08	0,59	13,03	58,61	301	270,79	157,54	104,78	5,59
Recording1	Participant1	Timeline1	imagen 4	1	imagen 4	4999	59175				4264	251	17	150	3,15322	17	135,14	33,13	427,69	101,07	3,65	0,97	7,3	62,05	192	97,41	41,55	38,47	1,3
Recording1	Participant1	Timeline1	imagen 5	1	imagen 5	4999	64174				4297	269	16	117	3,23568	16	84,34	35,05	263,34	53,74	2,81	1,4	9,63	44,9	139	155,74	263,34	147,38	9,63
Recording1	Participant1	Timeline1	imagen 10	1	imagen 10	4999	84185				3614	278	13	400	3,67002	14	98,82	30,47	184,62	59,08	3,13	0,67	5,84	43,84	629	1,25	134,75	96,38	4,39
Recording1	Participant1	Timeline1	Imagen 1	1	Imagen 1	5015	44145				2315	331	7	566	3,09694	8	58,53	31,98	128,51	30,99	1,96	1,02	3,68	15,67	1698	41,06	58,68	47,37	2,42
Recording1	Participant1	Timeline1	Imagen 3	1	Imagen 3	5016	54159				4164	219	19	100	2,94566	19	110,55	30,38	489,4	105,37	3,36	1,07	8,49	63,81	128	204,54	125,86	79,77	5,23
Recording1	Participant1	Timeline1	Imagen 6	1	Imagen 6	5015	69172				4114	374	11	416	3,16133	12	149,16	37,23	414,47	104,99	3,99	1,3	8,2	47,83	137	75,43	156,17	125,19	4,58
Recording1	Participant1	Timeline1	Imagen 8	1	Imagen 8	4999	79187				1782	594	3	200	3,33338	4	89,92	40,84	154,42	52,68	2,83	1,42	5,64	11,31	232	100,93	154,42	107,99	5,64
Recording1	Participant1	Timeline1	imagenes 13	1	imagenes 13	4999	89184				3781	315	12	167	3,38032	9	209,22	59,6	407,33	141,2	6,17	1,85	13,74	55,53	111	251,97	59,6	53,4	1,85
Recording1	Participant1	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	94372	0				84372	459	184	117	3,26028	176	116,19	30,38	613,24	97,98	3,6	0,59	13,74	633,28	443	256,72	117,81	88,8	4,17
Recording17	Participant17	Timeline1	image 2	1	image 2	4999	50888				4064	339	12	766	3,17653	13	132,22	34,98	338	95,7	3,79	1,05	8,13	49,23	152	106,83	40,95	38,88	1,41
Recording17	Participant17	Timeline1	image 7	1	image 7	5015	75931				3881	277	14	217	3,21928	13	129,25	31,95	337,82	97,76	3,97	0,92	10,71	51,63	73	154,68	95,21	85,44	2,98
Recording17	Participant17	Timeline1	imagen 4	1	imagen 4	4999	60902				3281	365	9	117	3,33241	10	158,77	58,21	343,13	99,97	3,93	1,76	5,83	39,33	47	194,65	318,69	318,69	5,17
Recording17	Participant17	Timeline1	imagen 5	1	imagen 5	5032	65901				4397	400	11	100	3,3803	12	62,22	30,25	111,89	25,78	1,94	0,98	3,6	23,32	45	199,5	111,89	78,46	3,6
Recording17	Participant17	Timeline1	imagen 10	1	imagen 10	4999	85946				4230	302	14	167	3,60842	11	105,96	40,91	149,79	37,07	3,16	1,12	4,88	34,77	185	31,36	57,35	51,19	1,99
Recording17	Participant17	Timeline1	Imagen 1	1	Imagen 1	5016	45872				3298	412	8	183	3,52021	9	121,44	34,74	369,55	99,88	3,7	1,79	10,01	33,32	104	188,6	369,55	153,78	10,01
Recording17	Participant17	Timeline1	Imagen 3	1	Imagen 3	5015	55886				3614	452	8	167	3,08689	8	96,5	39,41	152	37,78	2,92	0,97	4,8	23,35	183	245,67	100,97	94,37	3,3
Recording17	Participant17	Timeline1	Imagen 6	1	Imagen 6	4999	70933				4014	401	10	550	3,24058	10	100,9	36,49	207,39	60,96	3,44	0,76	6,62	34,43	242	346,19	81,41	56,63	2,65
Recording17	Participant17	Timeline1	Imagen 8	1	Imagen 8	4999	80947				4530	412	11	233	3,46888	11	109,99	65,85	186,89	35,6	3,34	2,1	4,75	36,75	4	275,43	78,28	67,4	2,38
Recording17	Participant17	Timeline1	imagenes 13	1	imagenes 13	4999	90944				4130	295	14	233	3,26057	13	222,87	87,32	360,77	94,95	6,04	2,45	8,42	78,49	249	133,55	106,39	74,41	2,96
