Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording3	Participante 3	Timeline1	imagenes 13	1	imagenes 13	4999	88928				1715	245	7	67	3,45191	5	181,96	108,98	321,7	84,47	5,2	3,53	8,14	26,01	1366	345,84	126,74	109,41	3,77
Recording3	Participante 3	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	94123	0				63787	480	133	533	3,38211	121	114,01	30,38	474,42	83,5	3,91	0,7	11,33	472,6	5405	99,37	95,65	79,46	2,42
Recording4	Participante 4	Timeline1	image 2	1	image 2	4999	58431				3597	400	9	316	3,02018	10	167,43	58,25	520,94	132,41	5,37	1,27	10,61	53,67	184	73,35	58,25	58,25	1,27
Recording4	Participante 4	Timeline1	image 7	1	image 7	4999	83441				4097	241	17	333	3,48496	17	137,59	34	386,72	127,58	4	0,73	15,39	67,97	138	94,65	104,06	67,24	2,7
Recording4	Participante 4	Timeline1	imagen 4	1	imagen 4	4999	68445				4097	585	7	150	3,40666	8	169,87	113,1	373,28	85,33	4,47	2,89	6,37	35,79	112	104,44	113,1	80,76	2,89
Recording4	Participante 4	Timeline1	imagen 5	1	imagen 5	4999	73444				4380	876	5	233	3,63803	5	90,43	60,14	151,85	38,08	2,61	2,05	4,01	13,07	177	306,89	151,85	78,55	4,01
Recording4	Participante 4	Timeline1	imagen 10	1	imagen 10	4999	93455				3198	355	9	150	4,03699	10	102,74	35,4	225,22	58,02	3,24	0,84	6,55	32,4	150	94,69	58,45	51,39	1,76
Recording4	Participante 4	Timeline1	Imagen 1	1	Imagen 1	5015	53415				3331	370	9	217	3,82613	10	78,63	33,12	237,66	59,05	2,35	1,07	5,09	23,49	53	120,11	237,66	143,9	5,09
Recording4	Participante 4	Timeline1	Imagen 3	1	Imagen 3	5015	63429				4297	477	9	117	3,51339	9	165,73	56,08	459,01	121,55	4,43	2,32	7,57	39,85	48	217,68	138,39	98,72	5,16
Recording4	Participante 4	Timeline1	Imagen 6	1	Imagen 6	4999	78442				3781	756	5	167	3,41958	5	73,73	42,11	105,53	22,64	2,62	1,49	3,47	13,12	174	289,17	42,11	40,34	1,49
Recording4	Participante 4	Timeline1	Imagen 8	1	Imagen 8	5015	88440				2531	316	8	233	4,03415	9	134,27	38,42	295,27	91,12	4,46	1,42	8,79	40,11	203	235,25	125,09	95,28	3,61
Recording4	Participante 4	Timeline1	imagenes 13	1	imagenes 13	4999	98454				4097	372	11	167	3,62121	10	165,94	37,16	356,24	126,54	4,97	1,34	8,27	49,74	264	285,91	66,65	61,26	2,31
Recording4	Participante 4	Timeline1	Entire Recording	1	image 2,image 7,imagen 4,imagen 5,imagen 10,Imagen 1,Imagen 3,Imagen 6,Imagen 8,imagenes 13	103648	0				79875	478	167	217	3,70641	156	139,3	32,44	666,16	113,16	4,28	0,73	16,5	667,96	1374	92,21	296,64	189,7	6,36
