Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording17	Participant17	Timeline1	imagen 11	1	imagen 11	4999	99406				1016	203	5	200	3,29405	6	167,75	47,31	334,26	125,24	3,37	1,24	5,73	20,22	30	218,1	84,06	66,56	2,57
Recording17	Participant17	Timeline1	inagen 5	1	inagen 5	5015	89392				2948	368	8	350	3,43261	7	78,53	35,59	210,89	59,85	2,17	1,01	5,62	15,18	568	286,1	71,24	52,33	2,19
Recording17	Participant17	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	104599	0				80675	489	165	533	3,47834	143	153,14	30,69	813,17	142,28	4	0,5	17,96	572,38	309	90,69	176,11	113,54	8,03
Recording16	Participant16	Timeline1	image 10	1	image 10	4999	89005				2282	326	7	117	2,94137	7	102,15	45,25	212,35	60,66	3,09	1,49	5,42	21,6	299	232,88	57,09	50,28	2,12
Recording16	Participant16	Timeline1	imagen 1	1	imagen 1	5032	48948				2515	1257	2	816	3,25362	3	71,79	30,91	107,77	38,67	2,31	1,07	3,73	6,92	918	312,6	30,91	30,91	1,07
Recording16	Participant16	Timeline1	imagen 2	1	imagen 2	4982	53981				866	433	2	100	2,74802	3	202,07	36,77	418,15	195,69	4,9	1,1	9,18	14,71	133	106,29	151,3	81,33	4,43
Recording16	Participant16	Timeline1	imagen 3	1	imagen 3	4999	58963				2581	645	4	150	2,98323	5	127,45	38,26	319,05	116,7	3,12	1,27	6,79	15,61	164	143,93	319,05	133,88	6,79
Recording16	Participant16	Timeline1	imagen 4	1	imagen 4	5015	63961				3048	339	9	217	2,93223	10	120,07	32,07	271,79	74,52	4	1,13	7,98	39,97	178	309,33	47,7	40,19	1,44
Recording16	Participant16	Timeline1	imagen 7	1	imagen 7	4999	68977				0		0			0													
Recording16	Participant16	Timeline1	imagen 8	1	imagen 8	4999	73975				1449	1449	1	1449	2,63658	2	106,01	76,38	135,63	41,9	2,74	2,65	2,82	5,48	1106	151,98	76,38	68,15	2,65
Recording16	Participant16	Timeline1	imagen 9	1	imagen 9	5016	78974				3131	313	10	167	2,82035	8	118,86	32,14	258,61	88,04	2,83	1,1	5,59	22,67	254	314,86	258,61	258,61	5,59
Recording16	Participant16	Timeline1	imagen 11	1	imagen 11	5015	94004				1066	533	2	183	3,02759	3	139,02	76,64	183,34	55,59	3,8	3,3	4,09	11,41	180	343,78	157,08	80,45	4,09
Recording16	Participant16	Timeline1	inagen 5	1	inagen 5	5015	83990				2515	1257	2	1732	2,86152	3	56,2	45,45	65,26	10,01	1,72	1,12	2,81	5,16	201	61,02	57,9	44,06	2,81
Recording16	Participant16	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	99205	0				71815	855	84	4747	2,88883	79	97,47	30,37	418,15	79,23	3,33	0,85	9,18	262,73	6931	278,84	36,05	36,05	1,07
Recording13	Participant13	Timeline1	image 10	1	image 10	4999	86652				3231	323	10	217	3,69806	6	201,04	30,39	333,79	113,73	5,18	1,09	10,36	31,09	231	253,51	333,79	204,47	6,75
