Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording17	Participant17	Timeline1	imagen 7	1	imagen 7	5015	76719				3847	481	8	550	3,52608	8	73,82	41,89	105,63	26,53	2,67	1,38	4,29	21,38	767	235,46	47,09	42,23	2,57
Recording17	Participant17	Timeline1	imagen 8	1	imagen 8	4999	81734				3398	566	6	200	3,55623	7	75,15	40,77	103,52	21,11	2,31	1,51	3,39	16,2	165	167,97	103,52	92,27	3,39
Recording17	Participant17	Timeline1	imagen 9	1	imagen 9	4999	86733				4047	270	15	167	3,21458	15	207,25	37,47	755,11	198,37	5,35	1,21	18,39	80,27	179	201,83	303,69	130,7	6,57
Recording17	Participant17	Timeline1	imagen 11	1	imagen 11	5015	96731				4030	366	11	150	3,3496	10	134,75	52,13	240,51	54,43	4,42	1,5	6,46	44,24	207	275,56	52,13	44,56	1,5
Recording17	Participant17	Timeline1	inagen 5	1	inagen 5	4999	71720				4247	1416	3	3348	3,83562	4	56,82	37,26	80,49	20,78	1,56	0,55	2,92	6,26	169	37,73	80,49	75,53	2,92
Recording17	Participant17	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	101931	0				90534	495	183	150	3,74708	174	139,64	30,47	755,11	111,52	4,21	0,55	18,39	732,24	291	267,06	156,81	129,02	4,77
Recording18	Participant18	Timeline1	image 10	1	image 10	4999	85431				3864	322	12	333	4,32324	11	114,19	53,13	311,08	77,63	3,41	1,36	7,64	37,53	547	250,3	182,91	155,74	7,64
Recording18	Participant18	Timeline1	imagen 1	1	imagen 1	5032	45374				3397	378	9	350	4,5237	8	64,25	48,04	81,16	11,15	2,11	1,19	3,28	16,87	266	358,07	67,8	58,62	3,28
Recording18	Participant18	Timeline1	imagen 2	1	imagen 2	4999	50406				4247	386	11	350	4,01968	11	148,54	56,31	359,91	105,8	4,47	1,32	11,61	49,19	47	306,22	107,96	69,72	2,8
Recording18	Participant18	Timeline1	imagen 3	1	imagen 3	5015	55405				3414	379	9	316	4,22467	10	96,28	37,28	227,55	55,88	3,4	1,47	8,44	33,97	311	160,21	114,92	88,83	3,11
Recording18	Participant18	Timeline1	imagen 4	1	imagen 4	4999	60420				3814	272	14	200	4,62398	13	132,05	56,67	279,45	71,79	4,24	1,67	8,7	55,17	442	262,28	56,67	52,26	2,46
Recording18	Participant18	Timeline1	imagen 7	1	imagen 7	5016	70418				3681	307	12	316	3,92778	12	115,93	39,32	391,29	96,7	3,6	1,4	8,49	43,17	237	265,88	39,32	39,32	1,4
Recording18	Participant18	Timeline1	imagen 8	1	imagen 8	4999	75433				3847	350	11	233	4,00729	10	96,23	65,96	131,29	23,34	2,98	1,91	3,91	29,81	168	3,67	128,68	105,73	3,91
Recording18	Participant18	Timeline1	imagen 9	1	imagen 9	4999	80432				3631	363	10	350	4,19411	10	155,22	32,87	549,02	156,44	4,55	0,84	13,29	45,49	283	316,69	138,42	116,3	6,16
Recording18	Participant18	Timeline1	imagen 11	1	imagen 11	5015	90430				3647	405	9	150	4,01851	8	109,43	65,47	158,29	32,76	3,73	1,79	4,9	29,8	178	57,21	135,12	84,62	4,64
Recording18	Participant18	Timeline1	inagen 5	1	inagen 5	4999	65419				3314	276	12	283	4,44051	9	135,96	40,96	289,03	98,28	4,37	1,15	9,51	39,31	256	14,24	47,23	45,01	1,85
Recording18	Participant18	Timeline1	Entire Recording	1	image 10,imagen 1,imagen 2,imagen 3,imagen 4,imagen 7,imagen 8,imagen 9,imagen 11,inagen 5	95635	0				76211	465	164	316	4,17924	145	113,19	30,27	549,02	84,02	3,84	0,67	15,87	556,36	439	274,46	189,33	189,33	2,76
